ID,Gender,Lab,Ancestry
HG00096,male,1,British
HG00097,female,7,British
HG00099,female,5,British
HG00100,female,2,British
HG00101,male,1,British
HG00102,female,3,British
HG00103,male,4,British
HG00104,female,1,British
HG00105,male,3,British
HG00106,female,4,British
HG00108,male,7,British
HG00109,male,3,British
HG00110,female,2,British
HG00111,female,2,British
HG00112,male,6,British
HG00114,male,6,British
HG00115,male,6,British
HG00116,male,2,British
HG00117,male,1,British
HG00118,female,4,British
HG00119,male,2,British
HG00120,female,3,British
HG00121,female,1,British
HG00122,female,6,British
HG00123,female,4,British
HG00124,female,3,British
HG00125,female,1,British
HG00126,male,1,British
HG00127,female,1,British
HG00128,female,1,British
HG00129,male,4,British
HG00130,female,5,British
HG00131,male,2,British
HG00132,female,2,British
HG00133,female,2,British
HG00134,female,6,British
HG00135,female,3,British
HG00136,male,4,British
HG00137,female,6,British
HG00138,male,5,British
HG00139,male,7,British
HG00141,male,5,British
HG00142,male,4,British
HG00143,male,7,British
HG00145,male,6,British
HG00146,female,2,British
HG00148,male,3,British
HG00149,male,1,British
HG00150,female,4,British
HG00151,male,3,British
HG00152,male,7,British
HG00154,female,5,British
HG00155,male,1,British
HG00156,male,4,British
HG00157,male,5,British
HG00158,female,1,British
HG00159,male,7,British
HG00160,male,3,British
HG00171,female,3,Finland
HG00173,female,3,Finland
HG00174,female,4,Finland
HG00176,female,4,Finland
HG00177,female,4,Finland
HG00178,female,4,Finland
HG00179,female,1,Finland
HG00180,female,1,Finland
HG00181,male,4,Finland
HG00182,male,1,Finland
HG00183,male,5,Finland
HG00185,male,1,Finland
HG00186,male,3,Finland
HG00187,male,1,Finland
HG00188,male,1,Finland
HG00189,male,1,Finland
HG00231,female,2,British
HG00232,female,7,British
HG00233,female,2,British
HG00234,male,7,British
HG00235,female,1,British
HG00236,female,5,British
HG00238,female,5,British
HG00239,female,7,British
HG00240,female,2,British
HG00242,male,3,British
HG00243,male,4,British
HG00244,male,5,British
HG00245,female,4,British
HG00246,male,7,British
HG00247,female,3,British
HG00249,female,3,British
HG00250,female,1,British
HG00251,male,2,British
HG00252,male,1,British
HG00253,female,5,British
HG00255,female,2,British
HG00256,male,2,British
HG00257,female,4,British
HG00258,female,1,British
HG00259,female,5,British
HG00260,male,5,British
HG00261,female,6,British
HG00262,female,2,British
HG00263,female,6,British
HG00264,male,6,British
HG00265,male,2,British
HG00266,female,6,Finland
HG00267,male,4,Finland
HG00268,female,5,Finland
HG00269,female,2,Finland
HG00271,male,2,Finland
HG00272,female,7,Finland
HG00273,male,3,Finland
HG00274,female,6,Finland
HG00275,female,4,Finland
HG00276,female,2,Finland
HG00277,male,3,Finland
HG00278,male,1,Finland
HG00280,male,1,Finland
HG00281,female,1,Finland
HG00282,female,2,Finland
HG00284,male,1,Finland
HG00285,female,3,Finland
HG00306,female,1,Finland
HG00308,male,3,Finland
HG00309,female,7,Finland
HG00310,male,4,Finland
HG00311,male,4,Finland
HG00312,male,7,Finland
HG00313,female,2,Finland
HG00315,female,2,Finland
HG00319,female,4,Finland
HG00320,female,1,Finland
HG00321,male,2,Finland
HG00323,female,1,Finland
HG00324,female,1,Finland
HG00325,male,5,Finland
HG00326,female,1,Finland
HG00327,female,3,Finland
HG00328,female,2,Finland
HG00329,male,5,Finland
HG00330,female,1,Finland
HG00331,female,7,Finland
HG00332,female,6,Finland
HG00334,female,2,Finland
HG00335,male,2,Finland
HG00336,male,1,Finland
HG00337,female,5,Finland
HG00338,male,2,Finland
HG00339,female,4,Finland
HG00341,male,2,Finland
HG00342,male,1,Finland
HG00343,female,1,Finland
HG00344,female,4,Finland
HG00345,male,1,Finland
HG00346,female,2,Finland
HG00349,female,4,Finland
HG00350,female,3,Finland
HG00351,male,6,Finland
HG00353,female,1,Finland
HG00355,female,2,Finland
HG00356,female,2,Finland
HG00358,male,5,Finland
HG00359,female,1,Finland
HG00360,male,3,Finland
HG00361,female,7,Finland
HG00362,female,3,Finland
HG00364,female,2,Finland
HG00365,female,7,Finland
HG00366,male,4,Finland
HG00367,female,2,Finland
HG00369,male,5,Finland
HG00371,male,1,Finland
HG00372,male,4,Finland
HG00373,female,2,Finland
HG00375,male,4,Finland
HG00376,female,2,Finland
HG00377,female,2,Finland
HG00378,female,5,Finland
HG00379,female,5,Finland
HG00380,female,3,Finland
HG00381,female,3,Finland
HG00382,male,4,Finland
HG00383,female,1,Finland
HG00384,female,2,Finland
HG01334,male,7,British
HG01789,male,6,British
HG01790,female,3,British
HG01791,male,2,British
HG02215,female,1,British
NA06984,male,1,Utah
NA06985,female,1,Utah
NA06986,male,2,Utah
NA06989,female,3,Utah
NA06994,male,2,Utah
NA07037,female,6,Utah
NA07048,male,6,Utah
NA07051,male,5,Utah
NA07056,female,1,Utah
NA07346,female,2,Utah
NA07347,male,7,Utah
NA07357,male,2,Utah
NA10847,female,4,Utah
NA10851,male,4,Utah
NA11829,male,6,Utah
NA11830,female,3,Utah
NA11831,male,7,Utah
NA11832,female,2,Utah
NA11840,female,6,Utah
NA11843,male,4,Utah
NA11881,male,1,Utah
NA11892,female,1,Utah
NA11893,male,7,Utah
NA11894,female,2,Utah
NA11918,female,1,Utah
NA11920,female,2,Utah
NA11930,male,3,Utah
NA11931,female,1,Utah
NA11992,male,6,Utah
NA11993,female,2,Utah
NA11994,male,2,Utah
NA11995,female,7,Utah
NA12004,female,4,Utah
NA12005,male,4,Utah
NA12006,female,5,Utah
NA12043,male,2,Utah
NA12044,female,4,Utah
NA12045,male,3,Utah
NA12058,female,5,Utah
NA12144,male,4,Utah
NA12154,male,5,Utah
NA12155,male,4,Utah
NA12156,female,4,Utah
NA12234,female,7,Utah
NA12249,female,1,Utah
NA12272,male,3,Utah
NA12273,female,1,Utah
NA12275,female,7,Utah
NA12282,male,3,Utah
NA12283,female,2,Utah
NA12286,male,2,Utah
NA12287,female,3,Utah
NA12340,male,5,Utah
NA12341,female,1,Utah
NA12342,male,1,Utah
NA12347,male,1,Utah
NA12348,female,3,Utah
NA12383,female,1,Utah
NA12399,male,1,Utah
NA12400,female,2,Utah
NA12413,male,2,Utah
NA12489,female,1,Utah
NA12546,male,3,Utah
NA12716,male,7,Utah
NA12717,female,1,Utah
NA12718,female,1,Utah
NA12749,female,1,Utah
NA12750,male,2,Utah
NA12751,female,2,Utah
NA12760,male,3,Utah
NA12761,female,6,Utah
NA12762,male,4,Utah
NA12763,female,2,Utah
NA12775,male,7,Utah
NA12776,female,6,Utah
NA12777,male,4,Utah
NA12778,female,1,Utah
NA12812,male,1,Utah
NA12813,female,2,Utah
NA12814,male,7,Utah
NA12815,female,1,Utah
NA12827,male,3,Utah
NA12829,male,7,Utah
NA12830,female,1,Utah
NA12842,male,6,Utah
NA12843,female,6,Utah
NA12872,male,2,Utah
NA12873,female,7,Utah
NA12874,male,3,Utah
NA12889,male,3,Utah
NA12890,female,1,Utah
NA18486,male,7,Yoruba
NA18487,male,6,Yoruba
NA18488,female,4,Yoruba
NA18489,female,2,Yoruba
NA18498,male,2,Yoruba
NA18499,female,1,Yoruba
NA18502,female,7,Yoruba
NA18505,female,3,Yoruba
NA18508,female,1,Yoruba
NA18510,male,3,Yoruba
NA18511,female,7,Yoruba
NA18517,female,3,Yoruba
NA18519,male,1,Yoruba
NA18520,female,1,Yoruba
NA18858,female,2,Yoruba
NA18861,female,1,Yoruba
NA18867,female,1,Yoruba
NA18868,male,5,Yoruba
NA18870,female,6,Yoruba
NA18873,female,4,Yoruba
NA18907,female,6,Yoruba
NA18908,male,7,Yoruba
NA18909,female,4,Yoruba
NA18910,male,3,Yoruba
NA18912,female,7,Yoruba
NA18916,female,2,Yoruba
NA18917,male,1,Yoruba
NA18923,male,2,Yoruba
NA18933,female,1,Yoruba
NA18934,male,3,Yoruba
NA19092,male,1,Yoruba
NA19093,female,7,Yoruba
NA19095,female,2,Yoruba
NA19096,male,4,Yoruba
NA19098,male,5,Yoruba
NA19099,female,2,Yoruba
NA19102,female,1,Yoruba
NA19107,male,2,Yoruba
NA19108,female,5,Yoruba
NA19113,male,3,Yoruba
NA19114,female,2,Yoruba
NA19116,female,2,Yoruba
NA19117,male,1,Yoruba
NA19118,female,7,Yoruba
NA19119,male,3,Yoruba
NA19121,male,3,Yoruba
NA19129,female,6,Yoruba
NA19130,male,5,Yoruba
NA19131,female,2,Yoruba
NA19137,female,1,Yoruba
NA19138,male,3,Yoruba
NA19141,male,6,Yoruba
NA19143,female,2,Yoruba
NA19144,male,1,Yoruba
NA19146,male,5,Yoruba
NA19147,female,2,Yoruba
NA19149,female,1,Yoruba
NA19150,male,5,Yoruba
NA19152,female,4,Yoruba
NA19153,male,1,Yoruba
NA19159,female,3,Yoruba
NA19160,male,3,Yoruba
NA19171,male,1,Yoruba
NA19172,female,6,Yoruba
NA19175,male,4,Yoruba
NA19184,male,1,Yoruba
NA19185,female,6,Yoruba
NA19189,male,5,Yoruba
NA19190,female,4,Yoruba
NA19197,female,3,Yoruba
NA19198,male,2,Yoruba
NA19200,male,2,Yoruba
NA19201,female,1,Yoruba
NA19204,female,1,Yoruba
NA19206,female,2,Yoruba
NA19207,male,4,Yoruba
NA19209,female,6,Yoruba
NA19210,male,4,Yoruba
NA19213,male,2,Yoruba
NA19214,female,6,Yoruba
NA19222,female,2,Yoruba
NA19223,male,7,Yoruba
NA19225,female,1,Yoruba
NA19235,female,1,Yoruba
NA19236,male,4,Yoruba
NA19247,female,3,Yoruba
NA19248,male,5,Yoruba
NA19256,male,6,Yoruba
NA19257,female,6,Yoruba
NA20502,female,3,Tuscan
NA20503,female,1,Tuscan
NA20504,female,1,Tuscan
NA20505,female,1,Tuscan
NA20506,female,1,Tuscan
NA20507,female,1,Tuscan
NA20508,female,1,Tuscan
NA20509,male,7,Tuscan
NA20510,male,3,Tuscan
NA20512,male,6,Tuscan
NA20513,male,4,Tuscan
NA20514,female,1,Tuscan
NA20515,male,5,Tuscan
NA20516,male,5,Tuscan
NA20517,female,3,Tuscan
NA20518,male,4,Tuscan
NA20519,male,1,Tuscan
NA20520,male,3,Tuscan
NA20521,male,7,Tuscan
NA20524,male,2,Tuscan
NA20525,male,1,Tuscan
NA20527,male,2,Tuscan
NA20528,male,2,Tuscan
NA20529,female,2,Tuscan
NA20530,female,2,Tuscan
NA20531,female,4,Tuscan
NA20532,male,3,Tuscan
NA20534,male,2,Tuscan
NA20535,female,3,Tuscan
NA20536,male,1,Tuscan
NA20537,male,3,Tuscan
NA20538,male,3,Tuscan
NA20539,male,4,Tuscan
NA20540,female,1,Tuscan
NA20541,female,1,Tuscan
NA20542,female,7,Tuscan
NA20543,male,2,Tuscan
NA20544,male,4,Tuscan
NA20581,male,1,Tuscan
NA20582,female,4,Tuscan
NA20585,female,3,Tuscan
NA20586,male,2,Tuscan
NA20588,male,5,Tuscan
NA20589,female,1,Tuscan
NA20752,male,5,Tuscan
NA20754,male,4,Tuscan
NA20756,female,2,Tuscan
NA20757,female,1,Tuscan
NA20758,male,2,Tuscan
NA20759,male,4,Tuscan
NA20760,female,3,Tuscan
NA20761,female,1,Tuscan
NA20765,male,2,Tuscan
NA20766,female,1,Tuscan
NA20768,female,5,Tuscan
NA20769,female,6,Tuscan
NA20770,male,3,Tuscan
NA20771,female,2,Tuscan
NA20772,female,3,Tuscan
NA20773,female,6,Tuscan
NA20774,female,7,Tuscan
NA20778,male,4,Tuscan
NA20783,male,4,Tuscan
NA20785,male,4,Tuscan
NA20786,female,2,Tuscan
NA20787,male,6,Tuscan
NA20790,female,2,Tuscan
NA20792,male,6,Tuscan
NA20795,female,5,Tuscan
NA20796,male,1,Tuscan
NA20797,female,2,Tuscan
NA20798,male,6,Tuscan
NA20799,female,1,Tuscan
NA20800,female,1,Tuscan
NA20801,male,7,Tuscan
NA20802,female,1,Tuscan
NA20803,male,7,Tuscan
NA20804,female,4,Tuscan
NA20805,male,4,Tuscan
NA20806,male,3,Tuscan
NA20807,female,5,Tuscan
NA20808,female,4,Tuscan
NA20809,male,6,Tuscan
NA20810,male,2,Tuscan
NA20811,male,1,Tuscan
NA20812,male,2,Tuscan
NA20813,female,5,Tuscan
NA20814,male,2,Tuscan
NA20815,male,5,Tuscan
NA20816,male,3,Tuscan
NA20819,female,3,Tuscan
NA20826,female,1,Tuscan
NA20828,female,2,Tuscan