cell,cell_ontology_class,tissue
O20.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
A21.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
P8.B000404.3_56_F.1.1,neuron,Brain_Non-Myeloid
F17.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
J8.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
G22.MAA000947.3_9_M.1.1,neuron,Brain_Non-Myeloid
M10.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
M18.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
I9.MAA000641.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
F1.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
A15.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
H12.MAA000561.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
C13.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
G13.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
M8.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
C19.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
M17.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
M16.MAA000941.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
L7.B003728.3_56_F.1.1,astrocyte,Brain_Non-Myeloid
B12.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
K22.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
I22.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
P22.MAA000561.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
H19.MAA000641.3_9_M.1.1,neuron,Brain_Non-Myeloid
K1.MAA001853.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
G7.MAA000615.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
K4.MAA000940.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
O13.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
I20.MAA000940.3_8_M.1.1,neuron,Brain_Non-Myeloid
H21.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
E12.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
C21.MAA000424.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
J19.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
A8.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
D20.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
L2.MAA000564.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
P20.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
P20.MAA000578.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
O15.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
F14.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
J3.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
M14.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
E12.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
P7.MAA000563.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
J19.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
O15.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
A6.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
G15.MAA000581.3_10_M.1.1,neuron,Brain_Non-Myeloid
D22.B003290.3_38_F.1.1,neuron,Brain_Non-Myeloid
C12.MAA000942.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
E14.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
P7.MAA000564.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
J12.MAA000641.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
E6.MAA000563.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
N11.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
A11.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
J4.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
P6.MAA000942.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
A11.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
O4.B000404.3_56_F.1.1,astrocyte,Brain_Non-Myeloid
F19.MAA000941.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
A7.MAA000424.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
J12.MAA000581.3_10_M.1.1,neuron,Brain_Non-Myeloid
K7.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
N18.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
H15.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
H5.MAA000550.3_10_M.1.1,neuron,Brain_Non-Myeloid
B1.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
A15.MAA000941.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
E18.MAA000638.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
B22.MAA000944.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
F14.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
J5.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
P17.MAA000923.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
A13.MAA000923.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
F1.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
N22.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
J4.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
F5.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
L13.MAA000615.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
M16.MAA000561.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
A11.MAA000923.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
H13.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
B6.MAA000930.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
A18.MAA000930.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
G13.MAA000578.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
L22.MAA000424.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
A7.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
P1.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
H16.MAA000638.3_9_M.1.1,neuron,Brain_Non-Myeloid
L22.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
O14.MAA000923.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
P19.MAA000940.3_8_M.1.1,neuron,Brain_Non-Myeloid
F15.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
C3.MAA000578.3_10_M.1.1,neuron,Brain_Non-Myeloid
F6.B003728.3_56_F.1.1,astrocyte,Brain_Non-Myeloid
N20.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
A7.MAA001845.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
K1.MAA000550.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
J3.MAA000925.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
G18.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
J20.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
D7.B003290.3_38_F.1.1,astrocyte,Brain_Non-Myeloid
M4.MAA000935.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
F4.MAA000638.3_9_M.1.1,neuron,Brain_Non-Myeloid
M10.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
J11.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
D3.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
G6.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
J2.MAA001894.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
C1.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
B7.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
P8.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
E10.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
B8.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
D3.MAA000947.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
D4.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
A1.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
P2.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
G5.MAA000564.3_10_M.1.1,neuron,Brain_Non-Myeloid
F3.MAA000564.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
D5.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
L5.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
I14.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
L18.MAA000947.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
B2.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
K5.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
L22.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
L11.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
P20.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
P15.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
F2.MAA000940.3_8_M.1.1,neuron,Brain_Non-Myeloid
I21.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
D14.MAA000930.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
D4.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
E10.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
K10.MAA000553.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
C8.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
J13.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
C8.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
J1.MAA000942.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
A10.MAA001853.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
C11.MAA000553.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
M18.MAA001894.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
P8.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
C22.MAA000944.3_9_M.1.1,neuron,Brain_Non-Myeloid
B22.B003728.3_56_F.1.1,astrocyte,Brain_Non-Myeloid
C5.B003290.3_38_F.1.1,astrocyte,Brain_Non-Myeloid
O3.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
D1.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
O2.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
B11.MAA000941.3_8_M.1.1,neuron,Brain_Non-Myeloid
C22.MAA000940.3_8_M.1.1,neuron,Brain_Non-Myeloid
I5.MAA000564.3_10_M.1.1,neuron,Brain_Non-Myeloid
D9.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
D19.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
I10.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
P15.MAA000942.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
L4.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
C20.MAA000941.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
F15.MAA000638.3_9_M.1.1,neuron,Brain_Non-Myeloid
C9.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
N6.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
B9.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
G8.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
B11.MAA000564.3_10_M.1.1,neuron,Brain_Non-Myeloid
M19.MAA000941.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
B13.MAA000615.3_10_M.1.1,neuron,Brain_Non-Myeloid
I3.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
G10.MAA000638.3_9_M.1.1,neuron,Brain_Non-Myeloid
B20.MAA000930.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
M18.MAA000424.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
G2.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
G11.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
B20.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
D16.MAA001853.3_38_F.1.1,neuron,Brain_Non-Myeloid
N14.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
O14.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
O19.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
D17.MAA001845.3_39_F.1.1,neuron,Brain_Non-Myeloid
A12.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
O10.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
K14.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
F21.MAA000935.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
G13.MAA000926.3_9_M.1.1,neuron,Brain_Non-Myeloid
L2.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
N6.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
L7.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
A21.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
O19.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
A3.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
P5.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
C7.B003277.3_39_F.1.1,neuron,Brain_Non-Myeloid
B21.MAA000581.3_10_M.1.1,neuron,Brain_Non-Myeloid
G9.MAA001894.3_39_F.1.1,astrocyte,Brain_Non-Myeloid
G8.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
K17.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
G20.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
A13.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
D5.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
P20.B000621.3_56_F.1.1,endothelial cell,Brain_Non-Myeloid
O15.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
L5.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
N12.MAA000935.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
F3.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
F8.B003290.3_38_F.1.1,neuron,Brain_Non-Myeloid
J15.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
H9.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
A14.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
F2.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
L5.MAA000638.3_9_M.1.1,neuron,Brain_Non-Myeloid
F10.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
L10.B001688.3_38_F.1.1,astrocyte,Brain_Non-Myeloid
I20.B003274.3_38_F.1.1,astrocyte,Brain_Non-Myeloid
O1.MAA000944.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
B22.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
K4.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
J12.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
P7.MAA000947.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
M15.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
N22.MAA000923.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
J14.MAA000942.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
H20.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
H15.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
I9.MAA000944.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
A20.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
B22.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
E1.MAA001845.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
I13.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
P20.MAA000424.3_11_M.1.1,neuron,Brain_Non-Myeloid
N20.MAA000925.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
B11.MAA001845.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
E17.MAA000581.3_10_M.1.1,neuron,Brain_Non-Myeloid
D12.MAA000561.3_10_M.1.1,neuron,Brain_Non-Myeloid
F13.MAA000615.3_10_M.1.1,neuron,Brain_Non-Myeloid
M6.MAA001894.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
A13.MAA000615.3_10_M.1.1,neuron,Brain_Non-Myeloid
D12.MAA000424.3_11_M.1.1,neuron,Brain_Non-Myeloid
A5.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
J16.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
N7.MAA000935.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
L18.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
K11.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
D11.MAA000902.3_11_M.1.1,neuron,Brain_Non-Myeloid
O21.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
L16.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
E21.MAA000941.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
C16.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
B4.MAA001845.3_39_F.1.1,endothelial cell,Brain_Non-Myeloid
A3.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
P19.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
L12.MAA000923.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
C15.MAA000581.3_10_M.1.1,neuron,Brain_Non-Myeloid
N3.B003728.3_56_F.1.1,astrocyte,Brain_Non-Myeloid
C13.MAA000638.3_9_M.1.1,neuron,Brain_Non-Myeloid
A16.MAA000941.3_8_M.1.1,neuron,Brain_Non-Myeloid
E6.MAA001895.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
G18.MAA000578.3_10_M.1.1,neuron,Brain_Non-Myeloid
B3.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
B12.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
I18.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
K6.MAA000924.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
O13.MAA000947.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
G10.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
A13.MAA000944.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
D4.MAA000564.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
P6.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
E3.MAA000935.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
H14.MAA000615.3_10_M.1.1,neuron,Brain_Non-Myeloid
F11.MAA000564.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
B15.B003274.3_38_F.1.1,astrocyte,Brain_Non-Myeloid
G12.MAA000932.3_11_M.1.1,astrocyte,Brain_Non-Myeloid
A7.MAA000940.3_8_M.1.1,neuron,Brain_Non-Myeloid
M5.MAA000926.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
F18.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
N13.MAA000947.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
B13.MAA000641.3_9_M.1.1,neuron,Brain_Non-Myeloid
N2.MAA000560.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
J17.MAA000560.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
D10.MAA000560.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
F6.MAA000947.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
F15.MAA000930.3_8_M.1.1,endothelial cell,Brain_Non-Myeloid
N7.MAA000638.3_9_M.1.1,neuron,Brain_Non-Myeloid
K21.MAA000940.3_8_M.1.1,neuron,Brain_Non-Myeloid
D6.MAA000942.3_8_M.1.1,neuron,Brain_Non-Myeloid
A4.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
B12.MAA000581.3_10_M.1.1,neuron,Brain_Non-Myeloid
H14.MAA000926.3_9_M.1.1,endothelial cell,Brain_Non-Myeloid
C16.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
H16.MAA000581.3_10_M.1.1,neuron,Brain_Non-Myeloid
F19.MAA000424.3_11_M.1.1,neuron,Brain_Non-Myeloid
A22.B003275.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
H14.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
K22.MAA000930.3_8_M.1.1,astrocyte,Brain_Non-Myeloid
L2.MAA000563.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
B11.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
E8.B003290.3_38_F.1.1,endothelial cell,Brain_Non-Myeloid
N10.MAA000932.3_11_M.1.1,endothelial cell,Brain_Non-Myeloid
F14.MAA000581.3_10_M.1.1,endothelial cell,Brain_Non-Myeloid
L14.MAA000944.3_9_M.1.1,astrocyte,Brain_Non-Myeloid
B7.MAA000615.3_10_M.1.1,astrocyte,Brain_Non-Myeloid
